prospect_quality,name,phone,website,has_website,about,work,url
HOT,PrimeFix Home Solutions,(888) 890-3115,,No,27 followers,,https://www.facebook.com/profile.php?id=61586044270138
HOT,"Spin Auto Consulting, LLC",(917) 658-6163,,No,9 followers,,https://www.facebook.com/profile.php?id=61584130643250
HOT,Proof Logistics Group,(305) 894-6543,,No,21 followers,,https://www.facebook.com/profile.php?id=100065136805853
HOT,"AJ's Drywall & Finishing, LLC.",314-680-9680,,No,39K followers,,https://www.facebook.com/profile.php?id=100089897540809
HOT,M&B Electric,(631) 509-5855,,No,47 followers,,https://www.facebook.com/profile.php?id=61581786038988
HOT,Silver Solutions,(646) 552-1090,,No,159 followers,,https://www.facebook.com/profile.php?id=100084995324580
HOT,Certified electrician,(423) 733-1847,,No,195 followers,,https://www.facebook.com/profile.php?id=100063858202883
HOT,Great Ark Construction Company LLC,(917) 244-7637,,No,71K followers,,https://www.facebook.com/profile.php?id=100086035661989
HOT,Modern Spark Solutions LLC,(406) 381-7218,,No,2 followers,,https://www.facebook.com/profile.php?id=61568695921079
HOT,Service Pros LLC,(866) 621-0066,,No,741 followers,,https://www.facebook.com/profile.php?id=100054567289318
HOT,Wire Wise Electric,(347) 942-1290,,No,0 followers,,https://www.facebook.com/profile.php?id=61567323352789
HOT,Islandwide Electric,(516) 987-5153,,No,2 followers,,https://www.facebook.com/profile.php?id=61565983741383
HOT,Digital Klu - Complex Online Solutions,(929) 680-0048,,No,3.2K followers,,https://www.facebook.com/profile.php?id=61563808266609
HOT,JQ Electrical Services LLC,(929) 733-5281,,No,12 followers,,https://www.facebook.com/profile.php?id=61563574625304
HOT,T-Electric,(607) 760-7709,,No,133 followers,,https://www.facebook.com/profile.php?id=100057669758911
HOT,JQ Remodeling and Electrical Services LLC,(929)7335281,,No,,,https://www.facebook.com/profile.php?id=61558557573295
HOT,Deacon Electric Canandaigua NY,(315) 694-3109,,No,111 followers,,https://www.facebook.com/profile.php?id=61558609077824
HOT,Skyreal Enterprise,(773) 997-4500,,No,391 followers,,https://www.facebook.com/profile.php?id=61558947560375
HOT,That's Electric LLC,(845) 544-4316,,No,63 followers,,https://www.facebook.com/profile.php?id=61556267167334
HOT,Man Cave Electronics LLC,(347) 469-9410,,No,153 followers,,https://www.facebook.com/profile.php?id=100057316993723
HOT,ზუბა - ელექტრო მონტაჟი • ZUBA - Electrical installation,(646) 600-4935,,No,165 followers,,https://www.facebook.com/profile.php?id=100027214072618
WARM,Custom Electric,352-910-4528,https://www.customelectricfl.com/,Yes,38 followers,,https://www.facebook.com/profile.php?id=61583264077950
WARM,Local Electric,(802) 343-6741,https://802localelectric.com/,Yes,1.9K followers,,https://www.facebook.com/profile.php?id=100038995339837
WARM,Annuity/Pros,(888) 406-9260,https://annuityprosservices.com/,Yes,0 followers,,https://www.facebook.com/profile.php?id=61583875157221
WARM,Winston Electric Inc,(516) 223-3440,https://www.winstonelectricny.com/,Yes,2 followers,,https://www.facebook.com/profile.php?id=61585395431267
WARM,Tlaxcala Enterprise Corp,(347) 978-7850,https://api.whatsapp.com/send,Yes,24 followers,,https://www.facebook.com/profile.php?id=61579703156980
WARM,SEO For Home Service,(813) 997-4859,https://seoforhomeservice.com/contact/,Yes,30 followers,,https://www.facebook.com/profile.php?id=61584556166911
WARM,Fast Track Power Solutions,(717) 345-2414,http://Www.fasttrackpowersolutions.com/,Yes,20 followers,,https://www.facebook.com/profile.php?id=61579077730441
WARM,Estimation Campus INC,(713) 893-3927,http://www.estimationcampusinc.com/,Yes,118 followers,,https://www.facebook.com/profile.php?id=100083322902827
WARM,GH Electric,(203) 707-1777,http://electricGH.com/,Yes,58 followers,,https://www.facebook.com/profile.php?id=61576994146762
WARM,Supreme Electrical Supply,(954) 544-5377,http://Www.Supremeelectricalsupply.com/,Yes,8 followers,,https://www.facebook.com/profile.php?id=61582591087987
WARM,Berman Electric,516-361-4068,https://api.whatsapp.com/send,Yes,40 followers,,https://www.facebook.com/profile.php?id=100066985849182
WARM,Prime Pro Electric,(201) 851-8531,http://Primeproelectric.com/,Yes,,,https://www.facebook.com/profile.php?id=61581537372228
WARM,Allied Estimating Inc.,(929) 653-2313,https://api.whatsapp.com/send,Yes,72 followers,,https://www.facebook.com/profile.php?id=100087547426490
WARM,Porter and Chester - Brockton,(774) 360-8300,https://porterchester.edu/campus-locations/brockton-ma,Yes,94 followers,,https://www.facebook.com/profile.php?id=100027303415176
WARM,Seacoast Electrical Services LLC,(843) 333-1232,https://www.seacoastelectricalservices.com/,Yes,21 followers,,https://www.facebook.com/profile.php?id=61579106320161
WARM,1st Electric Response Inc.,904-613-7231,https://www.1stelectricresponse.org/,Yes,40 followers,,https://www.facebook.com/profile.php?id=100067004346793
WARM,Union Estimating LLC,(816) 888-3481,https://api.whatsapp.com/send,Yes,72 followers,,https://www.facebook.com/profile.php?id=100063656137532
WARM,"Taymar Electric, LLC",(512) 893-1679,https://api.whatsapp.com/send,Yes,26 followers,,https://www.facebook.com/profile.php?id=100083575862217
WARM,TNT Electrical Services Inc.,774-601-3107,http://TNTElectricalServicesInc.com/,Yes,191 followers,,https://www.facebook.com/profile.php?id=100063632163889
WARM,Pioneer Marketing Solutions,914-214-9081,http://www.pioneermarketingsolutions.com/,Yes,0 followers,,https://www.facebook.com/profile.php?id=61576372623780
WARM,RMK Group Consulting Inc,(717) 823-6303,http://www.rmk-gc.com/,Yes,60 followers,,https://www.facebook.com/profile.php?id=61575944264509
WARM,Revco Lighting + Electrical Supply,(631) 283-3600,http://www.revcoelectric.com/,Yes,1.7K followers,,https://www.facebook.com/profile.php?id=100063930703883
WARM,J&L Construction Services llc,(516) 343-0774,https://api.whatsapp.com/send,Yes,1.3K followers,,https://www.facebook.com/profile.php?id=100048820466549
WARM,Electrical Repairs Service,877-535-3463,https://electricalrepairsservice.com/,Yes,3.3K followers,,https://www.facebook.com/profile.php?id=61568416075497
WARM,Charge home solutions,(201) 279-1994,https://chargehomesolutions.com/,Yes,139 followers,,https://www.facebook.com/profile.php?id=61575215930031
WARM,O'Hara Electric,315-313-5957,http://oharaelectriccuse.com/,Yes,405 followers,,https://www.facebook.com/profile.php?id=61559908070003
WARM,Remedy Electric,(631) 948-1753,https://Cash.app/$Remedyelectric,Yes,5 followers,,https://www.facebook.com/profile.php?id=100088571976194
WARM,Alpha Handyman Services,(201) 477-0276,https://api.whatsapp.com/send,Yes,66 followers,,https://www.facebook.com/profile.php?id=100063450296049
WARM,Lelia Electric Corp.,(914) 584-4410,https://bestof.westchestermagazine.com/home-and-garden/general-contractor,Yes,76 followers,,https://www.facebook.com/profile.php?id=61572693389417
WARM,J&S Electrical Contractors NY INC.,(914) 844-0810,https://jselectricalcontractorsny.com/,Yes,350 followers,,https://www.facebook.com/profile.php?id=100068441853755
WARM,Trusted Electric,(262) 229-7754,https://www.trustedelectricco.com/,Yes,44K followers,,https://www.facebook.com/profile.php?id=61553411404847
WARM,Alivio Bookkeeping LLC,(203) 800-2130,http://www.aliviobooks.com/,Yes,7 followers,,https://www.facebook.com/profile.php?id=61571921583445
WARM,NG Precision Service LLC,(762) 466-8327,https://ngprecisionserv.com/,Yes,4 followers,,https://www.facebook.com/profile.php?id=61570895624886
WARM,SVP Funding Group,(888) 789-8896,http://www.svpfunding.com/,Yes,122 followers,,https://www.facebook.com/profile.php?id=100070230381085
