prospect_quality,name,phone,website,has_website,about,work,url
HOT,Noble Electric HVAC &Plumbing,(704) 292-6962,,No,300 followers,,https://www.facebook.com/profile.php?id=61583605557333
HOT,Hatten Electric - Residential Electrical Service SWVA,(276) 235-2130,,No,234 followers,,https://www.facebook.com/profile.php?id=61577330622723
HOT,"DW Electric, LLC",704-294-5501,,No,135 followers,,https://www.facebook.com/profile.php?id=61576860967435
HOT,"FeimsterElectric, LLC",(828) 551-2965,,No,104 followers,,https://www.facebook.com/profile.php?id=61576261875766
HOT,Investments & Opportunities LLC.,(336) 212-6852,,No,0 followers,,https://www.facebook.com/profile.php?id=61571573952210
HOT,"All Power Solutions,LLC",910-710-6190,,No,53 followers,,https://www.facebook.com/profile.php?id=100091865859352
HOT,R&S GE Services LLC.,919-998-9745,,No,43 followers,,https://www.facebook.com/profile.php?id=61559041989799
HOT,"T. H. Gary Electric, LLC",(828) 994-3449,,No,101 followers,,https://www.facebook.com/profile.php?id=61554743394051
HOT,Bori Electric LLC,(980) 781-8733,,No,20 followers,,https://www.facebook.com/profile.php?id=100089816691877
WARM,10 Star Solar & Electric,(980) 251-3004,http://10starsolar.com/,Yes,7 followers,,https://www.facebook.com/profile.php?id=61587058508276
WARM,Paramount Electric Company,(443) 812-5925,https://www.google.com/search,Yes,51 followers,,https://www.facebook.com/profile.php?id=61586577455453
WARM,Greenwing Electric,(704) 576-8285,http://greenwingelectric.com/,Yes,714 followers,,https://www.facebook.com/profile.php?id=61582534528789
WARM,Knight Electric Inc,(469) 459-1035,http://knightelectricinc.com/,Yes,149 followers,,https://www.facebook.com/profile.php?id=61567495192114
WARM,MS-24 Electric Subcontractor,(929) 417-7092,https://construction.ms-24.com/,Yes,13 followers,,https://www.facebook.com/profile.php?id=100076003475750
WARM,Supreme Electrical Supply,(954) 544-5377,http://Www.Supremeelectricalsupply.com/,Yes,8 followers,,https://www.facebook.com/profile.php?id=61582591087987
WARM,RJ Wiggins Company,919-353-8862,http://rjwiggins.com/,Yes,219 followers,,https://www.facebook.com/profile.php?id=100039395995608
WARM,A&E Electric,(919) 651-4720,http://ae-electric.org/,Yes,,,https://www.facebook.com/profile.php?id=61579643783427
WARM,1st Electric Response Inc.,904-613-7231,https://www.1stelectricresponse.org/,Yes,40 followers,,https://www.facebook.com/profile.php?id=100067004346793
WARM,Elevate Workforce Inc.,(251) 662-1118,http://www.elevateworkforce.com/,Yes,2.5K followers,,https://www.facebook.com/profile.php?id=100055747674294
WARM,Mr. Electric of Winston-Salem,336-518-0882,https://mrelectric.com/winston-salem,Yes,27 followers,,https://www.facebook.com/profile.php?id=61572573729776
WARM,JB Electrical Service LLC,(910) 366-0826,https://www.jbelectricalservicellc.com/,Yes,137 followers,,https://www.facebook.com/profile.php?id=61572881854499
WARM,NG Precision Service LLC,(762) 466-8327,https://ngprecisionserv.com/,Yes,4 followers,,https://www.facebook.com/profile.php?id=61570895624886
WARM,Sworn Industries Electrical,(703) 785-1005,https://maps.app.goo.gl/iaSgYCWZg3nSfa4K7,Yes,8 followers,,https://www.facebook.com/profile.php?id=100077075207051
WARM,"Wayne Electric Company, Inc.",(919) 735-1847,http://www.wayneelectriccompany.com/,Yes,212 followers,,https://www.facebook.com/profile.php?id=100065189702550
WARM,Garofalo Electric LLC,(860) 829-0729,http://garofaloelectric.com/,Yes,21 followers,,https://www.facebook.com/profile.php?id=100063605919327
COLD,Booked & Banked Contractor Marketing,,,No,,,https://www.facebook.com/profile.php?id=61585826594318
COLD,Platinum Electric,,,No,2 followers,,https://www.facebook.com/profile.php?id=61578858472241
COLD,Best Home Electrical Service,,,No,18 followers Mentions,,https://www.facebook.com/profile.php?id=100083419805063
COLD,KANK Properties Electrical Services,,,No,,,https://www.facebook.com/profile.php?id=61573111499552
COLD,Eastern Electrical Corp,,,No,1.3K followers Mentions,,https://www.facebook.com/profile.php?id=100092968433147
COLD,TRADECO CONSTRUCTION CHARLOTTE,,,No,,,https://www.facebook.com/profile.php?id=61561041593221
LOW,My electric store,,https://myelectricstore.shop/products/ge-thql1120gft-20a-gfci-circuit-breaker,Yes,0 followers,,https://www.facebook.com/profile.php?id=61581353167391
LOW,"CED Solutions, LLC",,http://www.CEDSolutions.us/,Yes,33 followers,,https://www.facebook.com/profile.php?id=61582434512267
LOW,Trade Ease Solutions,,https://mytrade-ease.com/,Yes,262 followers,,https://www.facebook.com/profile.php?id=100075659156143
