prospect_quality,name,phone,website,has_website,about,work,url
HOT,Gen 1:3 Electric,(479) 715-9728,,No,41 followers,,https://www.facebook.com/profile.php?id=100091487306825
HOT,Red Ryder Electric,(479) 601-1110,,No,37 followers,,https://www.facebook.com/profile.php?id=61584946812612
HOT,Lacy Electrical contracting,479-301-8805,,No,111 followers,,https://www.facebook.com/profile.php?id=61577290529478
HOT,CM Electric LLC,(918) 868-8871,,No,2.5K followers,,https://www.facebook.com/profile.php?id=100071991224436
HOT,Luke Electric,(903) 802-9208,,No,250 followers,,https://www.facebook.com/profile.php?id=61571964453691
HOT,"Midwest Automation, LLC",(806) 355-9400,,No,60 followers,,https://www.facebook.com/profile.php?id=100054472210600
HOT,Top Tier Electric NWA,(805) 479-0741,,No,145 followers,,https://www.facebook.com/profile.php?id=100084386040673
HOT,Wire Nutz Electric,(479) 715-5806,,No,113 followers,,https://www.facebook.com/profile.php?id=100090867860565
WARM,True Blue Electric LLC,479-640-8438,http://www.trueblueelectricnwa.com/,Yes,162 followers,,https://www.facebook.com/profile.php?id=100078006971997
WARM,"Elliott Electrical, Inc.",(501) 315-7539,https://linktr.ee/elliottelectricalinc,Yes,165 followers,,https://www.facebook.com/profile.php?id=100083138598234
WARM,Hill Electric Inc.,(479) 267-2403,https://www.hillelectricar.com/,Yes,952 followers,,https://www.facebook.com/profile.php?id=100064138233366
WARM,"Berry Financial Services, LLC",(563) 570-2367,https://berryfinancialservices.my.canva.site/,Yes,236 followers,,https://www.facebook.com/profile.php?id=61584222526938
WARM,Next Gen Electrical,(479) 957-2147,https://nextgenele.com/,Yes,485 followers,,https://www.facebook.com/profile.php?id=100091058392723
WARM,"Black Howler Beer Company, LLC",(479) 525-6400,http://www.blackhowlerbeer.com/,Yes,2.1K followers,,https://www.facebook.com/profile.php?id=100076196045592
WARM,"Northwest Technical Institute - NWTI of Springdale, Arkansas",(479) 751-8824,http://www.nwti.edu/,Yes,3.8K followers,,https://www.facebook.com/profile.php?id=100063581678531
WARM,"Emperial, Electric-Hvac-Plumbing",(479) 519-0118,https://clienthub.getjobber.com/client_hubs/45fb0d18-d627-4b30-8c86-1835c19419a9/public/work_request/new,Yes,278 followers,,https://www.facebook.com/profile.php?id=61569970769496
WARM,Roman Electrical Services LLC,(479) 422-2288,https://www.roman-electrical.com/,Yes,26 followers,,https://www.facebook.com/profile.php?id=100084155954275
WARM,Armstrong Electrical Services LLC,(479) 222-0462,https://www.armstrongelectricalservicesllc.com/,Yes,97 followers,,https://www.facebook.com/profile.php?id=100092259668833
WARM,Blue Giraffe Promotions,(479) 208-7225,https://www.bluegiraffepromotions.com/,Yes,144 followers,,https://www.facebook.com/profile.php?id=100063789475832
WARM,Hill Electric Inc.,(479) 267-2403,https://www.hillelectricar.com/,Yes,952 followers,,https://www.facebook.com/profile.php?id=100064138233366
WARM,"Pure Comfort Heating, Cooling, Electrical & Plumbing",479-212-2121,https://www.purecomfortnwa.com/,Yes,831 followers,,https://www.facebook.com/profile.php?id=100063739503315
WARM,L&C Electric Inc.,(479) 466-6916,http://landcelectric.com/,Yes,266 followers,,https://www.facebook.com/profile.php?id=100064945674136
WARM,ABS Electrical Services,(479) 399-3066,http://abselectricalservices.com/,Yes,20 followers,,https://www.facebook.com/profile.php?id=61572665576752
WARM,McLarty Daniel Chrysler Dodge Jeep Ram,(479) 250-3304,https://www.bentonvillecdjr.com/,Yes,6.5K followers,,https://www.facebook.com/profile.php?id=100063698658231
COLD,479 Electric,,,No,188 followers,,https://www.facebook.com/profile.php?id=61579751100366
COLD,Diamond Standard Electric,,,No,54 followers Mentions,,https://www.facebook.com/profile.php?id=61581728917252
COLD,LGND Electric LLC,,,No,42 followers,,https://www.facebook.com/profile.php?id=61584640930274
COLD,Booked & Banked Contractor Marketing,,,No,,,https://www.facebook.com/profile.php?id=61585826594318
COLD,Stahl Electric LLC,,,No,338 followers,,https://www.facebook.com/profile.php?id=61565976901411
COLD,API Electric,,,No,22 followers,,https://www.facebook.com/profile.php?id=61572674025615
COLD,Britland Electric,,,No,93 followers,,https://www.facebook.com/profile.php?id=100067397630596
LOW,Metro Electric LLC,,https://www.metroelectric-ar.com/,Yes,56 followers,,https://www.facebook.com/profile.php?id=61554986274405
