prospect_quality,name,phone,website,has_website,about,work,url
HOT,Forest Hill Electric,(201) 417-1928,,No,53 followers,,https://www.facebook.com/profile.php?id=61578933178607
HOT,M&J Electrical Services,(732)744-4968,,No,64 followers,,https://www.facebook.com/profile.php?id=61577604602779
HOT,Hammonds Home Services,(337) 366-4363,,No,123 followers,,https://www.facebook.com/profile.php?id=100057507532237
HOT,Big Dog Electrical Contractors,(856) 783-8946,,No,17 followers,,https://www.facebook.com/profile.php?id=61576339014226
HOT,AG Construction & Pavers,732-500-3386,,No,230 followers,,https://www.facebook.com/profile.php?id=100063555460913
HOT,Great Ark Construction Company LLC,(917) 244-7637,,No,71K followers,,https://www.facebook.com/profile.php?id=100086035661989
HOT,All Purpose 1st LLC,(201) 701-1771,,No,102 followers,,https://www.facebook.com/profile.php?id=100032459930763
HOT,Runway Electric LLC,(908) 319-5950,,No,4 followers,,https://www.facebook.com/profile.php?id=61564833508537
HOT,Zee Electrical Works,(929) 509-5031,,No,71 followers,,https://www.facebook.com/profile.php?id=61565627055494
HOT,Miller & Sons Electric LLC,(215) 678-0759,,No,,,https://www.facebook.com/profile.php?id=61565143390072
HOT,Electrician services,(914) 531-6086,,No,5 followers,,https://www.facebook.com/profile.php?id=61559945000368
HOT,Build Better Contractors,(347) 470-9296,,No,8 followers,,https://www.facebook.com/profile.php?id=61555244177512
HOT,Souza Painting & Renovation,(774) 477-2658,,No,17 followers,,https://www.facebook.com/profile.php?id=100087264426760
HOT,Steve Ritchie Electric,(559) 760-4782,,No,41 followers,,https://www.facebook.com/profile.php?id=61550581372356
HOT,Proficient Electrical Service,(215) 651-0561,,No,77 followers,,https://www.facebook.com/profile.php?id=100063065599636
WARM,Winston Electric Inc,(516) 223-3440,https://www.winstonelectricny.com/,Yes,2 followers,,https://www.facebook.com/profile.php?id=61585395431267
WARM,Mauser Electric LLC,(724) 944-4684,https://mauserknowelectric.com/,Yes,244 followers,,https://www.facebook.com/profile.php?id=100063581501019
WARM,Grus Construction Personnel,888-230-9908,http://www.gruspersonnel.com/,Yes,5.1K followers,,https://www.facebook.com/profile.php?id=100027429056314
WARM,"KB Electric, Inc",(973) 744-6201,http://www.kbelectricnj.com/,Yes,4.2K followers,,https://www.facebook.com/profile.php?id=100042049676590
WARM,MS-24 Electric Subcontractor,(929) 417-7092,https://construction.ms-24.com/,Yes,13 followers,,https://www.facebook.com/profile.php?id=100076003475750
WARM,Keen Electrical Solutions LLC,(908) 337-0267,http://keenelectricalsolutions.com/,Yes,,,https://www.facebook.com/profile.php?id=61553661416153
WARM,Prime Pro Electric,(201) 851-8531,http://Primeproelectric.com/,Yes,,,https://www.facebook.com/profile.php?id=61581537372228
WARM,Go pro electric LLC,908-347-5852,https://www.goproelectricnjny.com/,Yes,7 followers,,https://www.facebook.com/profile.php?id=61580844162167
WARM,Gregorio Electric,(609) 713-2687,http://gregorioelectricnj.com/,Yes,216 followers,,https://www.facebook.com/profile.php?id=100063802892388
WARM,Howard Bernath Heating and Cooling,(773) 770-5066,http://hbheatingandcooling.com/,Yes,102 followers,,https://www.facebook.com/profile.php?id=100068326478743
WARM,All Upon You Staffing Services,(832) 857-5215,http://www.alluponyou.com/,Yes,255 followers,,https://www.facebook.com/profile.php?id=100066604070645
WARM,Pizzazz Painting,(609) 702-8200,http://pizzazzpainting.com/contact-us/,Yes,360 followers,,https://www.facebook.com/profile.php?id=100063691495079
WARM,Tactical Power Electric,(732) 306-9643,http://www.tacticalpowerservices.com/,Yes,269 followers,,https://www.facebook.com/profile.php?id=100063771451943
WARM,Dunboy Electric,(908) 505-5781,https://dunboyelectric.com/contact,Yes,24 followers,,https://www.facebook.com/profile.php?id=61567151445054
WARM,Foutz Electric,562-787-3322,https://www.FoutzElectric.com/,Yes,147 followers,,https://www.facebook.com/profile.php?id=61562280045328
WARM,RTF Electric LLC,(732) 684-3786,http://rtfelectric.com/,Yes,281 followers,,https://www.facebook.com/profile.php?id=100041575099695
WARM,"Alaqua, Inc.",(551) 482-7568,http://www.alaquainc.com/,Yes,2.4K followers,,https://www.facebook.com/profile.php?id=100057325034797
WARM,Next Phase Electric LLC,(862) 777-5699,http://Next-phase-electric-llc-nj.com/,Yes,640 followers,,https://www.facebook.com/profile.php?id=61563611123260
WARM,Huey Electric llc,(973) 842-1878,http://Hueyelectric.com/,Yes,646 followers,,https://www.facebook.com/profile.php?id=61560833536567
WARM,E & E Electric,(732) 267-3512,https://www.eandeelectricco.com/,Yes,43 followers,,https://www.facebook.com/profile.php?id=61562031950384
WARM,Kover Electric LLC,(201) 378-3860,http://www.koverelectric.com/,Yes,146 followers,,https://www.facebook.com/profile.php?id=61560347971753
WARM,NGG Electric,(718) 316-8581,https://www.otlny.com/nggelectric,Yes,130 followers,,https://www.facebook.com/profile.php?id=61559623502853
WARM,F & A Construction,(973) 417-5041,https://app.gethearth.com/partners/felton-associates-llc/james,Yes,163 followers,,https://www.facebook.com/profile.php?id=100075986855012
WARM,Kinetic Marketing Services,(856) 333-2587,http://www.kineticmarketing.net/,Yes,0 followers,,https://www.facebook.com/profile.php?id=61558407038969
WARM,MAZ Electrical Solutions LLC,973-500-8282,https://Maz-electric.com/,Yes,80 followers,,https://www.facebook.com/profile.php?id=100092525073932
WARM,Pearson Lawn Care LLC.,(203) 610-1806,http://www.johnpearsonlawncare.com/,Yes,220 followers,,https://www.facebook.com/profile.php?id=100043247965998
WARM,The Henry M. Rowan College of Engineering at Rowan University,(856) 256-5300,https://engineering.rowan.edu/,Yes,2.4K followers,,https://www.facebook.com/profile.php?id=100063818462028
WARM,GenSun Roofing,(973) 310-6445,https://gensunroofingnj.com/roofing-services/roof-free-estimates/,Yes,161 followers,,https://www.facebook.com/profile.php?id=100083082893541
WARM,Suburban Electric,973-627-1510,http://suburbanelectricnj.com/,Yes,285 followers,,https://www.facebook.com/profile.php?id=100065189912674
WARM,Reliant A/V Productions,(609) 965-4860,http://www.reliantavproductions.com/,Yes,127 followers,,https://www.facebook.com/profile.php?id=100069575833116
WARM,"East Coast Lighting and Energy, LLC.",(732) 995-3844,http://www.eastcoastlightingandenergy.com/contact,Yes,220 followers,,https://www.facebook.com/profile.php?id=100063651424984
WARM,Summit Service Solutions,(877) 786-4877,https://summitservicesolutions.com/,Yes,393 followers,,https://www.facebook.com/profile.php?id=100086344141646
WARM,East Coast Contractors Group,(732)735-3928,https://www.eccgsesnj.com/,Yes,172 followers,,https://www.facebook.com/profile.php?id=61552229344727
WARM,Central Jersey Electric,908-340-9734,https://www.centraljerseyelectricllc.com/,Yes,87 followers,,https://www.facebook.com/profile.php?id=100057293716051
COLD,Booked & Banked Contractor Marketing,,,No,,,https://www.facebook.com/profile.php?id=61585826594318
COLD,ZZZ Electric LLC,,,No,155 followers,,https://www.facebook.com/profile.php?id=100072414130386
COLD,Blue Collar Repairs LLC,,,No,4 followers,,https://www.facebook.com/profile.php?id=61580160791076
COLD,"Off Duty Builders,LLC",,,No,21 followers,,https://www.facebook.com/profile.php?id=61571717484937
COLD,Keyline Masonry Roofing,,,No,,,https://www.facebook.com/profile.php?id=61569531787092
COLD,Lawrence Electrical,,,No,0 followers,,https://www.facebook.com/profile.php?id=61555613454730
COLD,Dazell’s Electrical LLC,,,No,8 followers,,https://www.facebook.com/profile.php?id=100063882523001
COLD,Home Repairs,,,No,,,https://www.facebook.com/profile.php?id=100078769786000
COLD,Gamarra Painting,,,No,,,https://www.facebook.com/profile.php?id=100007984684030
COLD,Alfredo Painting,,,No,1K followers,,https://www.facebook.com/profile.php?id=100094508447779
LOW,My electric store,,https://myelectricstore.shop/products/ge-thql1120gft-20a-gfci-circuit-breaker,Yes,0 followers,,https://www.facebook.com/profile.php?id=61581353167391
LOW,Crew Finder Pro,,https://www.crewfinderpro.com/,Yes,4 followers,,https://www.facebook.com/profile.php?id=61583454091137
LOW,Detrick Electric LLC,,https://www.detrickelectric.com/contact,Yes,6 followers,,https://www.facebook.com/profile.php?id=61573366064983
LOW,East Coast Contractors Group,,https://www.eccgsesnj.com/,Yes,133 followers,,https://www.facebook.com/profile.php?id=61554018398188
LOW,Vintony Plumbing and Heating,,http://www.vintony.com/,Yes,116 followers,,https://www.facebook.com/profile.php?id=100054301145952
