prospect_quality,name,phone,website,has_website,about,work,url
HOT,Unity Electrical Solutions,(435) 668-5664,,No,49 followers,,https://www.facebook.com/profile.php?id=61574124800680
HOT,HP Electric,(801) 678-7487,,No,64 followers,,https://www.facebook.com/profile.php?id=61573820615962
HOT,Osborne Electric,(801) 885-4195,,No,463 followers,,https://www.facebook.com/profile.php?id=100078333527371
WARM,Kanga Electric LLC,(801) 391-8216,http://www.kangaelectric.com/,Yes,6 followers,,https://www.facebook.com/profile.php?id=61583518726125
WARM,Transform Electric,(435) 218-8615,http://transformelectric.us/,Yes,,,https://www.facebook.com/profile.php?id=61555210711332
WARM,Silver Star Electric,(801) 808-9942,https://sseutah.pro/projects/,Yes,53 followers,,https://www.facebook.com/profile.php?id=100067973649884
WARM,Genesis Solar Group,(801) 389-0487,https://www.genesissolargroup.com/,Yes,44 followers,,https://www.facebook.com/profile.php?id=100091324865543
WARM,Surge Electric,(801) 798-6006,http://www.surgeutah.com/,Yes,233 followers,,https://www.facebook.com/profile.php?id=100066585849914
WARM,Haupt Electrical,(801) 489-6565,http://www.hauptelectrical.com/,Yes,981 followers,,https://www.facebook.com/profile.php?id=100063747420547
WARM,Rlk electric,801-814-0576,http://Rlkelectric.com/,Yes,298 followers,,https://www.facebook.com/profile.php?id=100050808084870
COLD,MJ Electrical LLC,,,No,211 followers,,https://www.facebook.com/profile.php?id=61572519583196
COLD,Nova Electric,,,No,,,https://www.facebook.com/profile.php?id=61566026802188
LOW,Shoumatoff Automotive Consulting,,http://www.shoumatoffauto.com/,Yes,7 followers,,https://www.facebook.com/profile.php?id=100083621857358
