prospect_quality,name,phone,website,has_website,about,work,url
WARM,Kanga Electric LLC,801-391-8216,http://www.kangaelectric.com/,Yes,6 followers | Mentions | Email: contact@kangaelectric.com,,https://www.facebook.com/profile.php?id=61583518726125
WARM,Transform Electric,435-218-8615,http://transformelectric.us/,Yes,. followers | Mentions | Email: devin@transformelectric.us,,https://www.facebook.com/profile.php?id=61555210711332
WARM,Unity Electrical Solutions,435-668-5664,https://gmail.com,Yes,49 followers | Mentions | Email: unityelectricalsolutions25@gmail.com,,https://www.facebook.com/profile.php?id=61574124800680
WARM,HP Electric,801-678-7487,https://gmail.com,Yes,64 followers | Email: hpelectric.office@gmail.com,,https://www.facebook.com/profile.php?id=61573820615962
WARM,Silver Star Electric,801-808-9942,https://sseutah.pro/projects/,Yes,53 followers | Mentions | Email: jakeh.electric@gmail.com,,https://www.facebook.com/profile.php?id=100067973649884
WARM,Genesis Solar Group,801-389-0487,https://www.genesissolargroup.com/,Yes,44 followers | Mentions | Email: info@genesissolargroup.com,,https://www.facebook.com/profile.php?id=100091324865543
WARM,Osborne Electric,801-885-4195,https://outlook.com,Yes,463 followers | Email: Osborne-electric@outlook.com,,https://www.facebook.com/profile.php?id=100078333527371
WARM,Surge Electric,801-798-6006,http://www.surgeutah.com/,Yes,233 followers | Mentions | Email: admin@surgeutah.com,,https://www.facebook.com/profile.php?id=100066585849914
WARM,Haupt Electrical,801-489-6565,http://www.hauptelectrical.com/,Yes,981 followers | Mentions | Email: office@hauptelectrical.com,,https://www.facebook.com/profile.php?id=100063747420547
WARM,Rlk electric,801-814-0576,http://Rlkelectric.com/,Yes,298 followers | Mentions | Email: rlkelectric@ymail.com,,https://www.facebook.com/profile.php?id=100050808084870
COLD,Nova Electric,,,No,. followers | Mentions,,https://www.facebook.com/profile.php?id=61566026802188
LOW,Shoumatoff Automotive Consulting,,http://www.shoumatoffauto.com/,Yes,7 followers,,https://www.facebook.com/profile.php?id=100083621857358
LOW,MJ Electrical LLC,,https://gmail.com,Yes,211 followers | Mentions | Email: mjelectricoffice@gmail.com,,https://www.facebook.com/profile.php?id=61572519583196
