prospect_quality,name,phone,website,has_website,about,work,url
HOT,Smiley Electric,971-331-1315,,No,0 followers | Mentions,,https://www.facebook.com/profile.php?id=61578866212652
WARM,"TOP Finance and Tax, Inc",650-414-0700,https://www.TopFinSvc.com/,Yes,0 followers | Mentions | Email: info@topfinsvc.com,,https://www.facebook.com/profile.php?id=61587089019669
WARM,TuHome Construction,408-679-7280,https://www.tuhomeconstruction.com/,Yes,22 followers | Mentions | Email: tuhomeconstruction@gmail.com,,https://www.facebook.com/profile.php?id=61574121122685
WARM,"Bookkeeping by Maureen, LLC",603-630-6216,https://www.bookkeepingbymaureen.com/,Yes,183 followers | Email: moparkerbiz@gmail.com,,https://www.facebook.com/profile.php?id=61579044704658
WARM,MS-24 Electric Subcontractor,929-417-7092,https://construction.ms-24.com/,Yes,13 followers | Email: office@ms-24.com,,https://www.facebook.com/profile.php?id=100076003475750
WARM,Wire Tech Electric,925-292-8005,https://wiretechelectrical.com/,Yes,469 followers,,https://www.facebook.com/profile.php?id=61583361238026
WARM,Supreme Electrical Supply,954-544-5377,http://Www.Supremeelectricalsupply.com/,Yes,8 followers | Mentions | Email: ses@supremeelectricalsupply.com,,https://www.facebook.com/profile.php?id=61582591087987
WARM,DDC Depot Electric & Lighting Supply,510-462-5000,https://www.ddcelectric.com/,Yes,0 followers | Email: Info@ddcdepot.com,,https://www.facebook.com/profile.php?id=61581866860828
WARM,1st Electric Response Inc.,904-226-6788,https://www.1stelectricresponse.org/,Yes,40 followers | Mentions,,https://www.facebook.com/profile.php?id=100067004346793
WARM,De’Fanama Electric,408-963-7765,https://defanama.com,Yes,3 followers | Mentions | Email: info@defanama.com,,https://www.facebook.com/profile.php?id=61578687391485
WARM,W. Bray Electric,209-347-1943,https://gmail.com,Yes,167 followers | Mentions | Email: wbrayelectric@gmail.com,,https://www.facebook.com/profile.php?id=61578686346317
WARM,Mr. Electric of West Hayward,510-319-7811,https://www.mrelectric.com/west-hayward,Yes,63 followers | Mentions,,https://www.facebook.com/profile.php?id=61577811627979
WARM,Allegiant Electric Inc,408-910-5965,http://www.allegiantelectricinc.com/,Yes,0 followers | Mentions | Email: support@allegiantelectricinc.com,,https://www.facebook.com/profile.php?id=61572933843347
WARM,Kingdom Electric LLC,408-466-2005,https://kingdom-electric.us/contact-form/,Yes,30 followers | Email: david@kingdom-electric.us,,https://www.facebook.com/profile.php?id=61550959833492
WARM,Ignitech Solution,663-168-2477,https://gmail.com,Yes,3 followers | Email: cioelectrica@gmail.com,,https://www.facebook.com/profile.php?id=61577338930449
WARM,Bender electric,916-222-1325,https://gmail.com,Yes,58 followers | Mentions | Email: jeffbender327@gmail.com,,https://www.facebook.com/profile.php?id=61564498923535
WARM,Electrical Repairs Service,866-228-4046,https://electricalrepairsservice.com/,Yes,3.3K followers | Mentions | Email: contact@electricalrepairsservice.com,,https://www.facebook.com/profile.php?id=61568416075497
WARM,Aristocrat Electrical,916-613-8970,http://www.aristocratelectric.com/,Yes,229 followers | Mentions | Email: aristocratconstruction@yahoo.com,,https://www.facebook.com/profile.php?id=100063560920160
WARM,ZG Electrical,916-252-5975,http://zgelectrical.com/,Yes,3 followers | Mentions | Email: zack@zgelectrical.com,,https://www.facebook.com/profile.php?id=61573963263203
WARM,Golden Electrical Services,408-204-0120,https://goldenelectricalinc.com/,Yes,204 followers | Mentions | Email: jesus@golden-es.com,,https://www.facebook.com/profile.php?id=100087599030186
WARM,Limon Electric and Construction,510-938-1960,https://www.lecbayarea.com/,Yes,57 followers | Mentions | Email: limonelectric@aol.com,,https://www.facebook.com/profile.php?id=61573583531897
WARM,InterMountain Electric,650-640-5061,http://www.im-electric.com/,Yes,37 followers | Mentions | Email: energy@im-electric.com,,https://www.facebook.com/profile.php?id=61572463418061
WARM,Wired Right Electric,925-980-9763,https://www.wiredrightelectricca.com/,Yes,Mentions | Email: joedee@wiredrightelectricllc.com,,https://www.facebook.com/profile.php?id=61556025782142
WARM,Four Ace Electrical Services,916-419-4626,https://www.fouraceelectrical.com/,Yes,403 followers | Mentions | Email: bernadette@fouraceelectrical.com,,https://www.facebook.com/profile.php?id=100063553273484
WARM,Orr & Associates Insurance Services- Amy Paluso,951-223-3218,https://orrandassociates.com/agent-profile/amy-paluso/,Yes,125 followers | Mentions | Email: apaluso@orrandassociates.com,,https://www.facebook.com/profile.php?id=61569313919118
WARM,Alliance Construction and Restoration,530-228-1438,http://www.allianceconstructionandrestoration.com/,Yes,3 followers | Mentions | Email: contract@allianceconstructionandrestoration.com,,https://www.facebook.com/profile.php?id=61565065019825
WARM,Wilson Electric,888-967-5791,http://www.wilsonelectric.works/,Yes,558 followers | Email: Kat.wilson@wilsonelectric.works,,https://www.facebook.com/profile.php?id=100076179608004
