prospect_quality,name,phone,website,has_website,about,work,url
HOT,"AA Washing & Painting, LLC",770-895-4451,,No,7 followers,,https://www.facebook.com/profile.php?id=61582778519465
WARM,LIV Painting Company,404-565-4295,https://livpainting.com,Yes,3 followers | Email: clarke@livpainting.com,,https://www.facebook.com/profile.php?id=61583905576981
WARM,I&G Painting Solutions,706-879-1698,https://yahoo.com,Yes,43 followers | Email: Ilde_16@yahoo.com,,https://www.facebook.com/profile.php?id=61584269806884
WARM,Quality Business Solutions,404-484-8085,https://www.quality-businesssolutions.com/,Yes,449 followers | Email: Businesssolutions.newhorizons@gmail.com,,https://www.facebook.com/profile.php?id=100063632572662
WARM,Southern Brush Painting,678-730-6012,http://southernbrushpainting.com/,Yes,18 followers | Email: Colin@southernbrushpainting.com,,https://www.facebook.com/profile.php?id=61584039341889
WARM,ACTA Construction & Engineering LLC,470-884-8830,http://www.acta-ce.com/,Yes,17 followers | Mentions | Email: contact@acta-ce.com,,https://www.facebook.com/profile.php?id=61584350795945
WARM,Savvy Service Group,404-579-0975,http://www.savvyservicegroup.com/,Yes,4 followers | Email: info@savvyservicegroup.com,,https://www.facebook.com/profile.php?id=61583981109974
WARM,Fair Air Hvac and home maintenance,678-680-8804,https://fairairheatingandac.com/,Yes,. followers | Mentions | Email: info@fairairheatingandac.com,,https://www.facebook.com/profile.php?id=61583152535972
WARM,Ayala’s Home Renovation LLC,470-767-4082,https://gmail.com,Yes,2 followers | Mentions | Email: ayalashomerenovationllc@gmail.com,,https://www.facebook.com/profile.php?id=100066669367765
WARM,URI Painting & Renovation LLC,404-447-3488,https://uripaintingrenovation.com/,Yes,6 followers | Email: Uripaintingrenovation777@gmail.com,,https://www.facebook.com/profile.php?id=61557058034493
WARM,LAMA Painting,602-544-6516,https://gmail.com,Yes,2 followers | Email: paintinglama@gmail.com,,https://www.facebook.com/profile.php?id=61581453563942
WARM,Highline Contractors,404-850-3210,http://Highline.02HeroAds.com/Contractors,Yes,60 followers | Email: GetHighline@gmail.com,,https://www.facebook.com/profile.php?id=100063493061672
WARM,Baby Boomers Cleaning Services,678-662-5925,https://babyboomerscleaningservices.com/,Yes,121 followers | Mentions | Email: babyboomerscs@gmail.com,,https://www.facebook.com/profile.php?id=100067015689885
WARM,Solo Painting & Maintenance LLC,706-510-6971,https://gmail.com,Yes,8 followers | Email: skyland635@gmail.com,,https://www.facebook.com/profile.php?id=61578702012516
WARM,G&P Labor & Demolition LLC,470-465-9935,https://gp-labor-demolition-llc.square.site/,Yes,69 followers | Mentions,,https://www.facebook.com/profile.php?id=61574093010413
WARM,APR Renovations Group,678-481-6241,https://maps.app.goo.gl/z3DE51ieVGxe4TvC7,Yes,241 followers | Email: Maumau19.98@icloud.com,,https://www.facebook.com/profile.php?id=100072462435891
WARM,Precision Home Service,706-941-1132,https://icloud.com,Yes,30 followers | Mentions | Email: yfnjay74@icloud.com,,https://www.facebook.com/profile.php?id=61577531739634
WARM,Royal Painting Solutions,678-561-6906,https://royalpaintingsolutions.com/,Yes,3 followers | Email: support@royalpaintingsolutions.com,,https://www.facebook.com/profile.php?id=61577146571949
WARM,"Rust Bullet, LLC",800-245-1600,https://www.rustbullet.com/,Yes,2.1K followers | Mentions | Email: info@rustbullet.com,,https://www.facebook.com/profile.php?id=100064062546451
WARM,Alpha Painters & Softwash LLC,770-906-1893,http://AlphaPainters.com/,Yes,7 followers | Email: estimate@alphapainters.com,,https://www.facebook.com/profile.php?id=61575297686505
WARM,Full Circle Painting,678-326-9776,https://fullcirclepaintingga.com/,Yes,249 followers | Mentions | Email: jdadeverett@gmail.com,,https://www.facebook.com/profile.php?id=100063493993931
WARM,Lara’s Legacy Drywall LLC,678-300-6709,https://laraslegacydrywall.my.canva.site/the-wellhall,Yes,101 followers | Email: Laraslegacydrywall@gmail.com,,https://www.facebook.com/profile.php?id=61572912609602
WARM,Wow 1 Day Painting Atlanta,888-969-1329,https://youtu.be/L-Tso0Lt40E,Yes,195 followers | Mentions,,https://www.facebook.com/profile.php?id=61575207895551
WARM,Prolific Painting,321-603-8942,http://prolificpainting01.com/,Yes,101 followers,,https://www.facebook.com/profile.php?id=100042235174699
WARM,Espindola plumbing LLC,404-618-7372,https://gmail.com,Yes,398 followers | Mentions | Email: espindolaplumbinginc@gmail.com,,https://www.facebook.com/profile.php?id=61571965790433
WARM,H&H Concrete Construction LLC,404-374-7259,https://www.hhconcreteconstructionllc.com/,Yes,229 followers | Mentions | Email: info@hhconcreteconstructionllc.com,,https://www.facebook.com/profile.php?id=100083341837779
WARM,Owens Painting & Repairs,770-837-4379,https://gmail.com,Yes,38 followers | Mentions | Email: owensloren25@gmail.com,,https://www.facebook.com/profile.php?id=100057267346875
WARM,Bella’s Multi Services LLc,770-882-8667,https://bellasmultiservicesllcga.com/,Yes,554 followers | Mentions | Email: vbella096@gmail.com,,https://www.facebook.com/profile.php?id=100041637798947
WARM,"PEACH Powered Prowess, LLC",205-672-6142,http://shaunlei98.wixsite.com/peachpoweredprowessl,Yes,95 followers | Email: creatorconnectatl@gmail.com,,https://www.facebook.com/profile.php?id=100068874115364
WARM,America Painting,770-940-6816,https://pfhth.com,Yes,,,https://www.facebook.com/profile.php?id=100019364678538
WARM,ClearerView Drone Services,913-999-5387,https://gmail.com,Yes,17 followers | Mentions | Email: clearerviewdrone@gmail.com,,https://www.facebook.com/profile.php?id=100078652704977
WARM,"Imperial Home and Business Solutions, LLC",470-457-9842,https://gmail.com,Yes,2 followers | Mentions | Email: affordableconst23@gmail.com,,https://www.facebook.com/profile.php?id=100076390800843
WARM,Fuentes Painting and Contractors LLC.,404-749-0158,http://54.209.181.249/fuentespaintingandcontractorsllc/,Yes,23 followers | Mentions | Email: paintsfuentes@gmail.com,,https://www.facebook.com/profile.php?id=100093163675393
WARM,Dave’s Do It All Services,314-766-3381,https://gmail.com,Yes,157 followers | Email: Davesdoitallservices@gmail.com,,https://www.facebook.com/profile.php?id=100081600707144
WARM,J.H&N Painting LLC,470-415-9698,http://www.jhnpaintingllc.com/,Yes,40 followers | Mentions | Email: jhnpaintingllc@gmail.com,,https://www.facebook.com/profile.php?id=100083921415405
WARM,Three C LLC,602-451-7076,https://www.threecllc.com/,Yes,107 followers | Mentions | Email: brad@threecllc.com,,https://www.facebook.com/profile.php?id=100054335063531
COLD,Joy Painting Renovations,,,No,393 followers | Friends,,https://www.facebook.com/profile.php?id=100088069070153
COLD,Alberto Painting,,,No,Friends,,https://www.facebook.com/profile.php?id=61568718279311
COLD,Hermanos G Painting,,,No,3 followers | Friends,,https://www.facebook.com/profile.php?id=61566404804930
COLD,Charles Painting Concepts,,,No,0 followers,,https://www.facebook.com/profile.php?id=61557708485388
COLD,GLJ Construction LLC,,,No,Friends,,https://www.facebook.com/profile.php?id=61551352323196
LOW,"TBR Coating, LLC",,http://www.tbrcoatingllc.com/,Yes,149 followers | Email: tbrcoatingllc@gmail.com,,https://www.facebook.com/profile.php?id=100063438895778
LOW,Atlanta Home Services,,http://www.homeserviceatl.com/,Yes,3 followers | Mentions | Email: paragon7studio1@gmail.com,,https://www.facebook.com/profile.php?id=61561472341388
LOW,Perfect Finish Labor Contractor,,https://sites.google.com/view/perfect-finish-labor-services/home,Yes,40 followers | Email: perfectfinishlaborcontractor@gmail.com,,https://www.facebook.com/profile.php?id=61565833842827
