prospect_quality,name,phone,website,has_website,about,work,url
WARM,NO DAYS OFF Painting,317-603-7063,https://gmail.com,Yes,400 followers | Email: NODAYSOFFPAINTING@gmail.com,,https://www.facebook.com/profile.php?id=100086749021378
WARM,NO DAYS OFF Painting,317-603-7063,https://gmail.com,Yes,400 followers | Email: NODAYSOFFPAINTING@gmail.com,,https://www.facebook.com/profile.php?id=100086749021378
WARM,NO DAYS OFF Painting,317-603-7063,https://gmail.com,Yes,400 followers | Email: NODAYSOFFPAINTING@gmail.com,,https://www.facebook.com/profile.php?id=100086749021378
WARM,NO DAYS OFF Painting,317-603-7063,https://gmail.com,Yes,400 followers | Email: NODAYSOFFPAINTING@gmail.com,,https://www.facebook.com/profile.php?id=100086749021378
WARM,NO DAYS OFF Painting,317-603-7063,https://gmail.com,Yes,400 followers | Email: NODAYSOFFPAINTING@gmail.com,,https://www.facebook.com/profile.php?id=100086749021378
WARM,NO DAYS OFF Painting,317-603-7063,https://gmail.com,Yes,400 followers | Email: NODAYSOFFPAINTING@gmail.com,,https://www.facebook.com/profile.php?id=100086749021378
WARM,NO DAYS OFF Painting,317-603-7063,https://gmail.com,Yes,400 followers | Email: NODAYSOFFPAINTING@gmail.com,,https://www.facebook.com/profile.php?id=100086749021378
WARM,NO DAYS OFF Painting,317-603-7063,https://gmail.com,Yes,400 followers | Email: NODAYSOFFPAINTING@gmail.com,,https://www.facebook.com/profile.php?id=100086749021378&__cft__[0]=AZbdJH48pRrBLpIZXKT3NRIXQqyUdVH8qKmKCRMAo2gNOvh0qKg57ueqc-A2wbKERC7AdgJMjjknS8dqak-nGRHPcINls9wI8o8USwbEX8Zsebq5DR7vGZbS1kFUHIzzZy2ZU4u5yMLKYRNzZbiDqMt4TH_10yxYTEIT18UBSSAl1Zz8oSDo7XrIBPlJS-DFrv4dxXFNkiawRrbre38yy9pbaTpz4O0_OV4Y9oKjU5SNpw&__cft__[1]=AZYCLSYPLLqgYY8GM3wNb0QjXguYmkfUeij-NhD6T8J87QsF08go_x2C6-3o-C1RhUOt54H5WIO4iUJByIMqE00SlH7ppzBnI1HLqqmQXl6gv62VTub0W8kUCuNQf7CIT7sisxQ3qaTEz_zhDoaHbeHy79Ph3fpL9Vb6bcHztN2Kir96dI0OjMHX78VDUe_FvVIdorw7zNCcpXHQandxhtzD&__tn__=-]H-R
WARM,NO DAYS OFF Painting,317-603-7063,https://gmail.com,Yes,400 followers | Email: NODAYSOFFPAINTING@gmail.com,,https://www.facebook.com/profile.php?id=100086749021378
WARM,NO DAYS OFF Painting,317-603-7063,https://gmail.com,Yes,400 followers | Email: NODAYSOFFPAINTING@gmail.com,,https://www.facebook.com/profile.php?id=100086749021378
WARM,NO DAYS OFF Painting,317-603-7063,https://gmail.com,Yes,400 followers | Mentions | Email: nodaysoffpainting@gmail.com,,https://www.facebook.com/profile.php?id=100086749021378
WARM,Prospect Painting Company,603-502-0381,http://www.prospectpaint.com/,Yes,243 followers | Mentions | Email: contact@prospectpaint.com,,https://www.facebook.com/profile.php?id=61563538719550
WARM,You Are Covered Painting,314-626-3935,http://yourecoveredpainting.com/,Yes,826 followers | Reviews,,https://www.facebook.com/profile.php?id=100063598808260
WARM,NO DAYS OFF Painting,317-603-7063,https://gmail.com,Yes,400 followers | Email: NODAYSOFFPAINTING@gmail.com,,https://www.facebook.com/profile.php?id=100086749021378
WARM,NO DAYS OFF Painting,317-603-7063,https://gmail.com,Yes,400 followers | Mentions | Email: nodaysoffpainting@gmail.com,,https://www.facebook.com/profile.php?id=100086749021378
WARM,NO DAYS OFF Painting,317-603-7063,https://gmail.com,Yes,400 followers | Email: NODAYSOFFPAINTING@gmail.com,,https://www.facebook.com/profile.php?id=100086749021378
WARM,LMPH Painting Home Services llc,862-224-5563,http://lmphpaintingllc.com/,Yes,141 followers | Mentions | Email: mario.castillo201717@gmail.com,,https://www.facebook.com/profile.php?id=100063683835416
WARM,Zoe’s painting LLC,317-548-9626,https://gmail.com,Yes,1K followers | Mentions | Email: zoespainting33@gmail.com,,https://www.facebook.com/profile.php?id=100084842863000
WARM,NO DAYS OFF Painting,317-603-7063,https://gmail.com,Yes,400 followers | Email: NODAYSOFFPAINTING@gmail.com,,https://www.facebook.com/profile.php?id=100086749021378
WARM,Zoe’s painting LLC,317-548-9626,https://gmail.com,Yes,1K followers | Mentions | Email: zoespainting33@gmail.com,,https://www.facebook.com/profile.php?id=100084842863000
WARM,NO DAYS OFF Painting,317-603-7063,https://gmail.com,Yes,400 followers | Email: NODAYSOFFPAINTING@gmail.com,,https://www.facebook.com/profile.php?id=100086749021378
COLD,NO DAYS OFF Painting,,,No,400 followers | Mentions,,https://www.facebook.com/profile.php?id=100086749021378
COLD,You Are Covered Painting,,,No,826 followers | Reviews,,https://www.facebook.com/profile.php?id=100063598808260
COLD,Zoe’s painting LLC,,,No,,,https://www.facebook.com/profile.php?id=100084842863000
COLD,NO DAYS OFF Painting,,,No,,,https://www.facebook.com/profile.php?id=100086749021378
COLD,Zoe’s painting LLC,,,No,,,https://www.facebook.com/profile.php?id=100084842863000
